Annotator,Sample ID,Channel Name,Link,Title,Topic,Scene Number,Intent,Time Start,Time End,Chart Type,Chart Details,Animation Type,Transcript,Global_Youtube_Link,Chart Data,Chart Meta Data
Ridwan,1,Our Changing Climate,https://youtu.be/mypEs1SBAUg?si=KeYNA_Xo68-uEjX4,Why does climate change make wildfires worse?,Global Deforestation,1,To show which years had the highest increase in deforestation,03:17,03:42,Bar Chart,Annual Deforestation in Brazilian Amazon (Hectre) vs Year,"Suspense- Gradual Reveal, Ellipsis- Fade, Emphasis-Annotation","In 2019, human-caused and out-of-control fires burned 976,200 hectares of the Amazon rainforest.
That’s the third-highest increase in the rate of deforestation in the Amazon’s history,
at a 30% jump from the prior year, second only to 1995, which was 95% and 1998 which
was 31%.",https://youtu.be/mypEs1SBAUg,"Chart 1 - Bar Chart
| Year | Hectares |
|------|----------|
| 1988 | 2,050,000 |
| 1989 | 1,700,000 |
| 1990 | 1,350,000 |
| 1991 | 1,150,000 |
| 1992 | 800,000 |
| 1993 | 1,400,000 |
| 1994 | 1,450,000 |
| 1995 | 2,900,000 |
| 1996 | 1,700,000 |
| 1997 | 1,600,000 |
| 1998 | 1,650,000 |
| 1999 | 1,650,000 |
| 2000 | 1,700,000 |
| 2001 | 1,750,000 |
| 2002 | 2,000,000 |
| 2003 | 2,400,000 |
| 2004 | 2,800,000 |
| 2005 | 1,900,000 |
| 2006 | 1,400,000 |
| 2007 | 1,150,000 |
| 2008 | 1,300,000 |
| 2009 | 1,400,000 |
| 2010 | 900,000 |
| 2011 | 650,000 |
| 2012 | 450,000 |
| 2013 | 580,000 |
| 2014 | 500,000 |
| 2015 | 600,000 |
| 2016 | 780,000 |
| 2017 | 700,000 |
| 2018 | 750,000 |
| 2019 | 976,200 |
-------------------","Chart 1 - Type: Bar Chart,
Description: This bar chart displays the annual deforestation in the Brazilian Amazon, measured in hectares, from 1988 to 2019. The chart illustrates fluctuations in deforestation rates over time, showing higher levels in the mid-1990s and early 2000s, followed by a general decline, with some recent increases towards the end of the period. The last bar for 2019 has an explicit value label.,
Mark: Rectangular bars,
Background: Photographic image of active deforestation (smoke and cleared land) in dark grey, black, and white tones, translucent beneath the chart elements.,
Gridlines: White solid lines for major horizontal gridlines (at 0, 1,500,000, 3,000,000) and for the X and Y axes.,
Data Colors: Predominantly translucent light olive green/yellow-green for bars from 1988 to 2018. The bar for 2019 is a brighter, slightly more opaque yellow.,
-------------------"
Ridwan,2,PolyMatter,https://youtu.be/dZh0B8AYxac?si=tVOZ2N2jf9-N7rZy,"
How Somalia’s Pirates Make Money",Somalian Pirates Profit Distribution,1,Showing different componenets of a pirate's income,06:28,06:42,Pie Chart,,"Suspense- Gradual Reveal, Annotation","First, investors get their guaranteed cut of at least 30%,
The port, who looked the other way while they parked the ship, gets 5-10%.
And the rest is split between the attackers, with a bonus of around $10,000 for being first
to board the ship.",https://youtu.be/dZh0B8AYxac,"Chart 1 - Donut Chart
| Category | Value |
|:-----------|------:|
| INVESTORS | 30 |
| PORT ""FEES"" | 10 |
| BOUNTIES | 60 |
-------------------","Chart 1 - Type: Donut Chart,
Description: A donut chart displaying the percentage allocation of funds. ""INVESTORS"" and ""PORT ""FEES"""" are explicitly labeled with percentages, while ""BOUNTIES"" represents the remaining ""REST"" of the funds, visually comprising both the green and grey segments to total 100%.,
Mark: Arc,
Background: Light grey with a subtle pattern of rounded squares,
Gridlines: None,
Data Colors: Red, Blue, Green, Grey
-------------------"
Ridwan,4,The Guardian,https://youtu.be/vhAXp0xzMFg?si=mwaiwmqtKRStvjHj,"
Why are houses so expensive?",Housing Market,1,Highting the historical low interest rates of Bank of England,03:10,03:28,Line Chart,,"Suspense- Gradual Reveal, Annotation","That's the bank of England base rate — and that's an average mortgage rate.
Those are historically low levels.",https://youtu.be/vhAXp0xzMFg,"Chart 1 - Line Chart
| Year | Red Line (%) | White Line (%) |
|------|--------------|----------------|
| 1991 | 9.8          | 7.0            |
| 1992 | 9.0          | 6.0            |
| 1993 | 8.0          | 6.0            |
| 1994 | 8.0          | 5.0            |
| 1995 | 7.5          | 6.5            |
| 1996 | 7.0          | 6.0            |
| 1997 | 6.5          | 5.0            |
| 1998 | 6.0          | 6.5            |
| 1999 | 5.5          | 6.5            |
| 2000 | 6.0          | 6.0            |
| 2001 | 5.8          | 5.5            |
| 2002 | 5.0          | 4.0            |
| 2003 | 5.8          | 4.0            |
| 2004 | 6.0          | 5.0            |
| 2005 | 5.5          | 5.0            |
| 2006 | 5.0          | 5.5            |
| 2007 | 6.0          | 5.5            |
| 2008 | 5.8          | 5.5            |
| 2009 | 4.5          | 0.5            |
| 2010 | 3.8          | 0.5            |
| 2011 | 4.0          | 0.5            |
| 2012 | 3.5          | 0.5            |
| 2013 | 3.0          | 0.5            |
| 2014 | 2.8          | 0.5            |
| 2015 | 2.5          | 0.5            |
| 2016 | 2.0          | 0.5            |
-------------------","Chart 1 - Type: Line Chart, 
Description: A dual-line chart showing the trend of two different metrics (represented by red and white lines) over the period from 1991 to 2016. The white line shows step-like changes, while the red line shows more continuous, fluctuating movement. Both lines show an overall downward trend, with the white line stabilizing at a low value from around 2009 onwards. The Y-axis represents percentage values from 0% to 10%. The X-axis represents years from 1991 to 2016.,
Mark: Line, 
Background: Dark grey/Black, 
Gridlines: Solid White, 
Data Colors: Red, White, 
-------------------"
Ridwan,5,The Infographics Show,https://youtu.be/eBV4GmK4kO4?si=B8dH7ooCPVPjKYtd,"
China vs Japan - Who Would Win - Army / Military Comparison",GDP of countries,1,Highlighting the Difference of GPD of different countries,00:33,00:49,Bar Chart,,"Suspense- Gradual Reveal, Annotation, Comparison - Detach","The USA has the world’s highest GDP of around 18.5 trillion dollars.
It’s followed by China with a nominal GDP of 11.8 trillion dollars, and then Japan with
a GDP of around 4.8 trillion dollars.
The European Union would take second place, but the EU is a combination of 28 states.",https://youtu.be/eBV4GmK4kO4,"Chart 1 - Bar Chart
| Region | GDP (Trillion USD) |
|---|---|
| USA | 18.5 |
| EU | 11.8 |
| China | 9.6 |
| Japan | 4.8 |
-------------------","Chart 1 - Type: Bar Chart,
Description: This bar chart displays the Gross Domestic Product (GDP) in Trillion USD for four major economies: USA, EU, China, and Japan. Each bar is labeled with the respective economy's flag at the base. The GDP values are explicitly labeled for the USA, EU, and Japan. The value for China was visually estimated based on its bar height relative to the other labeled bars.
Mark: Solid Rectangle,
Background: Light gray to white gradient,
Gridlines: None,
Data Colors: Red, Blue, Yellow, Green,
-------------------"
Ridwan,6,Vox,https://youtu.be/WjVVwMGJ9S8?si=BeFMvE7YH7OeJmPU,"
The problem with America's college entrance exam",SAT scores with income,1,"SAT scores of student with respect to their family incomes, showing low family income means lower grades",05:35,05:53,Bar Chart,,"Suspense- Gradual Reveal, Annotation, Comparison - Benchmark line, outline","Here's a chart of the average SAT scores by family income.
Students whose families earn less than $20,000 score around 890 -- way below average.
And as we move up the income brackets, students score higher and higher.
The wealthiest students -- whose parents earn more than $200,000 -- score an average of
1150.",https://youtu.be/WjVVwMGJ9S8,"Chart 1 - Horizontal Bar Chart
| Family Income           | Median SAT Score |
| :---------------------- | :--------------- |
| Less than $20,000       | 890              |
| $40,000                 | 935              |
| $60,000                 | 980              |
| $80,000                 | 1000             |
| $100,000                | 1050             |
| $140,000                | 1090             |
| More than $200,000      | 1150             |
-------------------","Chart 1 - Type: Horizontal Bar Chart, 
Description: This chart illustrates the median SAT score across different family income brackets. It shows a positive correlation where higher family incomes are associated with higher median SAT scores. The ""Average"" SAT score is marked at 1000.,
Mark: Horizontal Bar, 
Background: Solid, Light Beige (#FBF8F0), 
Gridlines: Dashed, Light Gray vertical lines (e.g., #BBBBBB), Solid Black vertical line for the y-axis, 
Data Colors: Blue (#47A0D4), 
-------------------"
Ridwan,8,Vox,https://youtu.be/ylLTMYt24lA?si=cbp4EESFQD5Gx6oR,How American CEOs got so rich,CEO wealth,1,Comparing how much popular car companies spent on stock buy back,04:57,05:15,Line Chart,,"emphasis - outline, Comparison - zoom in","And you can see part of the reason for this gap when you look at how much of their profits
three companies spend on buybacks.
Volkswagen hasn’t done any since 2012, and Toyota’s biggest buyback years are roughly
the size of GM’s smallest.",https://youtu.be/ylLTMYt24lA,"Chart 1 - Line Chart
| Year | GM (%) | Toyota (%) | Volkswagen (%) |
|------|--------|------------|----------------|
| 2012 | 82     | 8          | 0              |
| 2013 | 45     | 0          | 0              |
| 2014 | 82     | 18         | 0              |
| 2015 | 35     | 38         | 0              |
| 2016 | 28     | 40         | 0              |
| 2017 | 115    | 18         | 0              |
-------------------","Chart 1 - Type: Line Chart,
Description: A line chart depicting the share of profits spent on stock buybacks for three automobile manufacturers (GM, Toyota, and Volkswagen) from 2012 to 2017. The Y-axis represents the percentage of profits, and the X-axis represents the year. Each company's performance is represented by a distinct colored line, with company logos indicating the series.
Mark: Line,
Background: Light grey with a subtle textured pattern,
Gridlines: Thin light grey lines,
Data Colors: [Dark Blue, Grey, Dark Grey]
-------------------"
Ridwan,10,Vox,https://youtu.be/-ZDZtBRTyeI?si=9AhFlfqXoj8ufT4r,"
Why American public transit is so bad | 2020 Election",Walking vs Transit,1,"comparison of tansportation use, national average vs transit oriented development",04:02,04:13,Bar Chart,,Suspense- Gradual Reveal,"This is called transit-oriented development.
And the people who live in these places
are less likely than the national average to drive,
and more likely to walk, bike, or take transit.",https://youtu.be/-ZDZtBRTyeI,"Chart 1 - Grouped Bar Chart
| Transportation Mode | National average | Transit-oriented developments |
|:--------------------|:-----------------|:------------------------------|
| Auto                | 80%              | 45%                           |
| Public transit      | 5%               | 35%                           |
| Bike                | 1%               | 3%                            |
| Walk                | 2%               | 22%                           |
-------------------","Chart 1 - Type: Grouped Bar Chart, 
Description: This grouped bar chart illustrates the share of use for various transportation modes (Auto, Public transit, Bike, Walk) across two categories: ""National average"" and ""Transit-oriented developments"". The Y-axis represents the percentage of use, ranging from 0% to 75%. The X-axis lists the transportation modes. ,
Mark: Rectangular bars, 
Background: Solid dark grey, 
Gridlines: Thin, solid light grey horizontal lines, 
Data Colors: ['#80C0D8' (light blue), '#4272B6' (dark blue)], 
-------------------"
Ridwan,11,politizane,https://youtu.be/QPKKQnijnsM?si=TIeDGC9RrZclfR_j,"
Wealth Inequality in America",Wealth Distribution,1,"To show what the ideal wealth distribution looks lke from the perspective of common people ",02:43,03:15,Bar Chart,,Emphasis- pulse,"this
isn't too bad we've got some incentive
as the wealthiest folks are now about 10
to 20 times better off than the poorest
Americans but hey even the poor folks
aren't actually poor since the poverty
line has stayed almost entirely off the
chart we have a super healthy middle
class with a smooth transition into
wealth and yes Republicans and Democrats
alike chose this curve nine out of ten
people 92 percent said this was a nice
ideal distribution of America's wealth",https://youtu.be/QPKKQnijnsM,"Chart 1 - Cumulative Bar Chart
| Population Percentile | Cumulative Wealth Share |
|:----------------------|:------------------------|
| 0%                    | 0.0%                    |
| 10%                   | 1.3%                    |
| 20%                   | 2.5%                    |
| 30%                   | 6.3%                    |
| 40%                   | 10.0%                   |
| 50%                   | 13.8%                   |
| 60%                   | 17.5%                   |
| 70%                   | 30.0%                   |
| 80%                   | 42.5%                   |
| 90%                   | 71.3%                   |
| 100%                  | 100.0%                  |
-------------------","Chart 1 - Type: Cumulative Bar Chart,
Description: This chart visualizes an ""ideal"" wealth distribution across different population percentiles, as chosen by 92% of Americans. The X-axis represents the cumulative percentage of the population from 0% to 100%. The Y-axis (implicitly representing wealth share) is shown by the height of individual green bars, which cumulatively represent the total wealth held by the corresponding population percentile. Population segments are indicated by colored human silhouette icons at the base: ""The Poor"" (0-20%), ""The Middle Class"" (20-60%), ""The Rich"" (60-80%), and ""The Wealthy"" (80-100%). A ""Poverty Line"" is marked on the Y-axis as a reference. The data represents the cumulative percentage of total wealth corresponding to each population percentile.
Mark: Rectangular green bars showing increasing height, and human silhouette icons (representing population units) below the bars.
Background: Light gray with a faint, transparent outline of the USA map.
Gridlines: Solid light gray vertical lines at 10% intervals and faint horizontal lines.
Data Colors: Green (for the wealth distribution bars). Blue (for ""The Poor"" population icons), Green (for ""The Middle Class"" population icons), Orange (for ""The Rich"" population icons), Red (for ""The Wealthy"" population icons).
-------------------"
Ridwan,12,The Wall street Journal,https://www.youtube.com/watch?v=CkxeehM9a9g&ab_channel=TheWallStreetJournal,"
Why Trump’s Economy Hasn’t Cracked Under Tariffs (Yet) | WSJ",Tariffs,1,Highting the disparity in tariff rates of USA,00:45,01:04,Bar Chart,,Emphasis- Fill,"Some major economies, like the European Union, Japan,
and South Korea face a 15% tariff.
While others like Canada, Switzerland, Brazil, and India
face much higher rates, upwards of 35% to 50%.
China is on a different track than most other nations.
Its tariff rate is set to soar
unless a deal is reached.",https://youtu.be/CkxeehM9a9g,"Chart 1 - Horizontal Bar Chart
| Country | Tariffs (%) |
| :-------- | :---------- |
| CHINA     | 51          |
| INDIA     | 50          |
| BRAZIL    | 50          |
| SWITZERLAND | 38          |
| CANADA    | 35          |
| S. KOREA  | 14          |
| JAPAN     | 12          |
| EU        | 15          |
-------------------","Chart 1 - Type: Horizontal Bar Chart, 
Description: A horizontal bar chart illustrating ""Trump's Tariffs"" with different countries on the Y-axis and percentage values on the X-axis. China, India, and Brazil show the highest tariff percentages, with China's bar highlighted in pink.,
Mark: Horizontal Bar, 
Background: Dark grey with a subtle textured noise pattern and a faint, grayscale image of a person (likely Donald Trump) in the background., 
Gridlines: Solid, light grey vertical lines., 
Data Colors: ['#E91E63', '#CCCCCC', '#CCCCCC', '#CCCCCC', '#CCCCCC', '#CCCCCC', '#CCCCCC', '#CCCCCC'], 
-------------------"
Mahir,18,The Wall street Journal,https://www.youtube.com/watch?v=BrfkFftU8PI,,,1,To show how Sonder projected their revenue will grow gradually and get $3.99 billion by 2025.,01:41,01:50,Bar Chart,,Emphasis-Annotation,"Investors loved it. In
2021, the company projected nearly $4
billion in revenue by 2025.",https://youtu.be/BrfkFftU8PI,"Chart 1 - Bar Chart
| Year | Revenue (Billions USD) |
|---|---|
| 2018 | 0.15 |
| 2019 | 0.25 |
| 2020 | 0.35 |
| 2021 | 0.45 |
| 2022 | 0.8 |
| 2023 | 1.4 |
| 2024 | 2.5 |
| 2025 | 3.99 |
-------------------","Chart 1 - Type: Bar Chart,
Description: This chart displays Sonder's revenue by year, illustrating both historical performance (2018-2020) and company forecasts (2021-2025). The Y-axis represents revenue in billions of US dollars. A thick, curved pink line serves as an overlay, indicating the projected trend and corresponding to the top of each forecast bar. The forecast for 2025 is explicitly labeled as $3.99 billion.
Mark: Bars (rectangular with gradient fill), Line (curved, thick, with arrowhead).
Background: Dark grey to black gradient.
Gridlines: Solid, thin, light grey horizontal lines.
Data Colors: Bars: Light blue gradient (bottom-light to top-dark blue), Trend line: Pink.
-------------------"
